,chemicalFormula,Band gap value,Band gap units,Band gap method
406,Cu2S1,1.84,eV,Photoconduction
407,Cu2S1,1.93,eV,Reflection
408,Cu2S1,1.26,eV,Reflection
409,Cu2S1,1.05,eV,Absorption
410,Cu1Cl1,3.306,eV,Absorption
411,Cu2Se1,1.23,eV,Reflection
412,Cu2Se1,1.23,eV,Reflection
413,Cu2Se1,1.29,eV,Photoconduction
414,Cu2Se1,1.3,eV,Absorption
415,Cu1Br1,2.987,eV,Absorption
416,Cu1Br1,3.02,eV,Photoconduction
417,Cu2Te1,1.08,eV,Absorption
418,Cu2Te1,1.15,eV,Absorption
419,Cu2Te1,1.02,eV,Photoconduction
420,Cu2Te1,1.04,eV,Reflection
421,Cu2Te1,1.04,eV,Reflection
422,Cu1I1,3.07,eV,Estimated
423,Cu1I1,3.047,eV,Absorption
424,Zn1O1,3.35,eV,Reflection
425,Zn1O1,3.435,eV,Reflection
426,Zn1O1,3.26,eV,
427,Zn1O1,3.31,eV,Electroreflection
428,Zn1O1,3.418,eV,Reflection
429,Zn1P2,1.65,eV,
430,Zn1P2,1.85,eV,
431,Zn1P2,2.18,eV,
432,Zn3P2,1.15,eV,Reflection
433,Zn1P2,2.03,eV,Absorption
434,Zn1S1,3.87,eV,Reflection
435,Zn1S1,3.68,eV,Absorption
436,Zn1S1,3.69,eV,Absorption
437,Zn1S1,3.704,eV,Absorption
438,Zn1S1,3.73,eV,Absorption
439,Zn1S1,3.88,eV,Reflection
440,Zn1S1,3.82,eV,
441,Zn1As2,0.9,eV,Absorption
442,Zn3As2,0.93,eV,Absorption
443,Zn3As2,0.86,eV,
444,Zn1As2,0.93,eV,Absorption
445,Zn3As2,0.51,eV,Absorption
446,Zn1As2,1.3,eV,
447,Zn1Se1,2.67,eV,Reflection
448,Zn1Se1,2.874,eV,Absorption
449,Zn1Se1,2.81,eV,Reflection
450,Zn1Se1,2.68,eV,
451,Zn1Se1,2.795,eV,Photoconduction
452,Zn1Se1,2.76,eV,
453,Zn1Sb1,0.5,eV,Absorption
454,Zn1Sb1,0.99,eV,Absorption
455,Zn3Sb2,0.22,eV,Absorption
456,Zn4Sb3,1.2,eV,Absorption
457,Zn1Sb1,0.508,eV,Absorption
458,Zn1Sb1,0.603,eV,Absorption
459,Zn1Sb1,0.606,eV,Absorption
460,Zn1Sb1,0.61,eV,Absorption
461,Zn1Sb1,0.61,eV,Absorption
462,Zn1Sb1,1.05,eV,Absorption
463,Zn1Sb1,1.09,eV,Absorption
464,Zn1Sb1,1.11,eV,Absorption
465,Zn1Sb1,0.59,eV,Absorption
466,Zn1Sb1,0.59,eV,Absorption
467,Zn1Sb1,0.53,eV,Absorption
468,Zn1Sb1,0.48,eV,Absorption
469,Zn1Sb1,0.514,eV,Absorption
470,Zn3Sb2,0.2,eV,Thermal activation
471,Zn1Sb1,0.5,eV,Absorption
472,Zn1Te1,2.25,eV,Absorption
473,Zn1Te1,2.385,eV,Absorption
474,Zn1Te1,2.29,eV,Reflection
475,Zn1Te1,2.35,eV,Reflection
476,Zn1Te1,2.372,eV,
477,Zn1Te1,2.37,eV,Absorption
478,Zn1Te1,2.34,eV,
479,Zn1Te1,2.281,eV,
480,Zn1Te1,2.176,eV,Reflection
481,Zn1Te1,2.23,eV,Absorption
482,Zn1Te1,2.255,eV,Reflection
483,Zn1Te1,2.35,eV,Reflection
484,Zn1Te1,2.29,eV,
485,Zn1I2,4.53,eV,Absorption
486,Ga1N1,3.24,eV,Absorption
487,Ga1N1,3.25,eV,Absorption
488,Ga1N1,3.39,eV,Absorption
489,Ga1N1,3.8,eV,Reflection
490,Ga2O3,4.54,eV,Absorption
491,Ga2O3,4.4,eV,Absorption
492,Ga1P1,2.22,eV,Absorption
493,Ga1P1,2.78,eV,Absorption
494,Ga1P1,2.235,eV,Absorption
495,Ga1P1,2.895,eV,Photoconduction
496,Ga1P1,2.78,eV,Absorption
497,Ga1P1,2.223,eV,Absorption
498,Ga1P1,2.75,eV,Electroreflection
499,Ga1S1,2.5,eV,Absorption
500,Ga2S3,3.59,eV,
501,Ga1S1,2.591,eV,Absorption
502,Ga1S1,2.62,eV,Absorption
503,Ga1S1,2.7,eV,
504,Ga1S1,2.58,eV,Absorption
505,Ga1S1,2.38,eV,Photoconduction
506,Ga1S1,2.5,eV,Reflection
507,Ga1S1,2.52,eV,Absorption
508,Ga1S1,2.53,eV,Absorption
509,Ga1S1,2.84,eV,
510,Ga2S3,2.85,eV,Absorption
511,Ga1As1,1.42,eV,Reflection
512,Ga1As1,1.46,eV,
513,Ga1As1,1.521,eV,Absorption
514,Ga1As1,1.518,eV,Absorption
515,Ga1As1,1.507,eV,
516,Ga1As1,1.51,eV,Absorption
517,Ga1As1,1.511,eV,Absorption
518,Ga1As1,1.479,eV,Absorption
519,Ga1As1,1.43,eV,Absorption
520,Ga1As1,1.37,eV,Absorption
521,Ga1As1,1.62,eV,Absorption
522,Ga1As1,1.35,eV,Absorption
523,Ga1As1,1.253,eV,Absorption
524,Ga1As1,1.147,eV,Absorption
525,Ga1As1,1.09,eV,Absorption
526,Ga1As1,1.33,eV,
527,Ga1As1,1.435,eV,Absorption
528,Ga1Se1,1.98,eV,Absorption
529,Ga1Se1,2.12,eV,Absorption
530,Ga2Se3,2.05,eV,Absorption
531,Ga1Se1,2.2,eV,
532,Ga1Se1,2.132,eV,Magnetoabsorption
533,Ga1Se1,2.065,eV,Absorption
534,Ga1Se1,2.07,eV,
535,Ga1Se1,2.109,eV,Electroreflection
536,Ga1Se1,2.117,eV,Absorption
537,Ga1Se1,2.12,eV,Absorption
538,Ga1Se1,2.169,eV,Absorption
539,Ga1Se1,1.93,eV,Photoconduction
540,Ga1Se1,1.97,eV,Absorption
541,Ga1Se1,1.97,eV,Absorption
542,Ga1Se1,2.01,eV,Thermal activation
543,Ga1Se1,2.1,eV,Reflection
544,Ga2Se3,2.3,eV,
545,Ga2Se3,1.86,eV,Thermal activation
546,Ga1Sb1,0.725,eV,Absorption
547,Ga1Sb1,0.773,eV,
548,Ga1Sb1,0.812,eV,Absorption
549,Ga1Sb1,0.813,eV,Absorption
550,Ga1Sb1,0.725,eV,Absorption
551,Ga1Sb1,0.81,eV,
552,Ga1Te1,1.42,eV,Absorption
553,Ga2Te3,1.13,eV,Reflection
554,Ga2Te3,1.32,eV,Reflection
555,Ga2Te3,1.08,eV,Absorption
556,Ga1Te1,1.52,eV,
557,Ga1Te1,1.74,eV,
558,Ga1Te1,1.74,eV,Reflection
559,Ga2Te3,1.33,eV,Absorption
560,Ga2Te3,1.5,eV,Thermal activation
561,Ga1Te1,1.5,eV,Photoconduction
562,Ga1Te1,1.63,eV,Reflection
563,Ga1Te1,1.67,eV,Absorption
564,Ga1Te1,1.7,eV,
565,Ga2Te3,1.45,eV,Thermal activation
566,Ga1Bi1,0.1,eV,Estimated
567,Ge1O2,5.56,eV,Reflection
568,Ge1O2,5.54,eV,Absorption
569,Ge1O2,5.63,eV,Reflection
570,Ge1O2,6,eV,Absorption
571,Ge0.9355Si0.0645,1.042,eV,Electroreflection
572,Ge0.93Si0.07,1.042,eV,Electroreflection
573,Ge0.891Si0.109,1.126,eV,Electroreflection
574,Ge0.838Si0.162,1.319,eV,Electroreflection
575,Ge0.774Si0.226,1.503,eV,Electroreflection
576,Ge0.653Si0.347,1.914,eV,Electroreflection
577,Ge0.542Si0.458,2.238,eV,Electroreflection
578,Ge1S1,1.58,eV,Thermal activation
579,Ge1S2,3.54,eV,Absorption
580,Ge1S1,1.69,eV,Absorption
581,Ge1S1,1.77,eV,Absorption
582,Ge1S1,1.59,eV,Absorption
583,Ge1S1,1.68,eV,Absorption
584,Ge1S2,3.71,eV,Absorption
585,Ge,0.665,eV,Absorption
586,Ge,0.005,eV,Magnetoabsorption
587,Ge,0.744,eV,Magnetoabsorption
588,Ge,0.771,eV,Magnetoabsorption
589,Ge,0.735,eV,Absorption
590,Ge,0.889,eV,Magnetoabsorption
591,Ge,0.88,eV,Absorption
592,Ge,0.799,eV,Absorption
593,Ge,0.882,eV,Absorption
594,Ge,0.88,eV,Absorption
595,Ge1As1,0.65,eV,Absorption
596,Ge1As2,1,eV,Absorption
597,Ge1As2,1.45,eV,Absorption
598,Ge1As1,1.45,eV,Absorption
599,Ge1Se1,1.1,eV,Absorption
600,Ge1Se1,1.53,eV,Absorption
601,Ge1Se2,2.38,eV,Absorption
602,Ge1Se2,2.485,eV,Absorption
603,Ge1Se2,2.69,eV,Absorption
604,Ge1Se1,1,eV,Thermal activation
605,Ge1Se1,1.17,eV,Photoconduction
606,Ge1Sn1,0.8,eV,
607,Ge1Te1,0.84,eV,Absorption
608,Ge1Te2,0.3,eV,
609,Ge1Te1,0.8,eV,Absorption
610,Ge1Te1,0.33,eV,
611,Ge1Te1,0.77,eV,Absorption
612,Ge1Te1,0.7,eV,Absorption
613,Ge1I2,1.5,eV,Estimated
614,As2O3,4,eV,Absorption
615,As2O3,5,eV,Reflection
616,As2S3,2.43,eV,Absorption
617,As4S4,2.4,eV,Photoconduction
618,As2S5,2.48,eV,Absorption
619,As2S3,2.2,eV,
620,As2S3,3,eV,
621,As2S6,2.35,eV,Absorption
622,As2S3,2.57,eV,Absorption
623,As2S3,2.64,eV,Absorption
624,As2S3,2.45,eV,Absorption
625,As2S3,2,eV,Absorption
626,As2S3,2.062,eV,Absorption
627,As2S3,2.21,eV,Absorption
628,As2S3,2.23,eV,Absorption
629,As2S3,2.48,eV,Reflection
630,As2S3,2.56,eV,Absorption
631,As2S3,2.355,eV,Absorption
632,As2S3,2.365,eV,Absorption
633,As2S3,2.43,eV,Absorption
634,As2S5,2.62,eV,Absorption
635,As2S3,2.32,eV,Absorption
636,As2S3,1.89,eV,Absorption
637,As2S5,2.01,eV,Absorption
638,As2S3,2.1,eV,Absorption
639,As2S5,2.21,eV,Absorption
640,As2S3,2.32,eV,Absorption
641,As2S3,2.36,eV,Photoconduction
642,As2S3,2.74,eV,Absorption
643,As2S3,2.8,eV,Absorption
644,As,1.2,eV,Photoconduction
645,As,0.172,eV,Magnetoreflection
646,As,0.346,eV,Magnetoreflection
647,As,1.07,eV,Reflection
648,As1Se1,1.01,eV,Absorption
649,As1Se1,1.42,eV,Absorption
650,As2Se3,1.77,eV,Reflection
651,As2Se3,1.8,eV,
652,As2Se3,1.81,eV,
653,As2Se3,1.85,eV,
654,As2Se3,2,eV,
655,As2Se3,1.63,eV,Absorption
656,As2Se3,1.5,eV,Absorption
657,As2Se3,1.7,eV,Absorption
658,As2Se3,1.7,eV,
659,As2Se3,1.73,eV,Absorption
660,As2Se3,1.1,eV,
661,As1Br3,2.6,eV,Absorption
662,As2Te3,0.48,eV,Absorption
663,As1Te1,0.74,eV,
664,As2Te3,0.58,eV,
665,As2Te3,1.1,eV,
666,As2Te3,0.62,eV,Absorption
667,As2Te3,0.9,eV,
668,As2Te3,1,eV,Absorption
669,As1I3,2.29,eV,Estimated
670,As1I3,2.54,eV,Absorption
671,SeS,1.9,eV,Absorption
672,Se,1.71,eV,Absorption
673,Se,1.72,eV,Absorption
674,Se,1.75,eV,Absorption
675,Se,1.81,eV,Absorption
676,Se,2.85,eV,
677,Se,2.01,eV,Absorption
678,Se,1.8,eV,Absorption
679,Se,2.3,eV,Absorption
680,Se,1.56,eV,Absorption
681,Se,1.7,eV,Absorption
682,Se,1.77,eV,Absorption
