,index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
1154,1163,Gd1B6,3.6,eV,Absorption,1
1155,1164,Gd1N1,1.54,eV,Absorption,1
1156,1165,Gd2O3,1.36,eV,Thermal activation,1
1158,1167,Gd1As1,0.63,eV,Absorption,1
1159,1168,Gd1Te1,1.3,eV,,1
1160,1169,Tb1O2,0.5,eV,Thermal activation,1
1161,1170,Tb2O3,0.95,eV,Thermal activation,1
1162,1171,Tb4O7,0.4,eV,Thermal activation,1
1164,1174,Dy1B6,3.3,eV,Absorption,1
1165,1175,Dy1N1,2.6,eV,Absorption,1
1167,1177,Dy2O3,3.08,eV,Thermal activation,1
1169,1179,Dy2S3,2.91,eV,Absorption,1
1171,1181,Dy1As1,1.0,eV,Absorption,1
1172,1182,Ho1N1,1.79,eV,Absorption,1
1174,1184,Ho2O3,2.84,eV,Thermal activation,1
1175,1185,Er1B6,3.5,eV,Absorption,1
1176,1186,Er1N1,2.4,eV,Absorption,1
1178,1188,Er2O3,3.26,eV,Thermal activation,1
1180,1190,Er1Se2,1.07,eV,Thermal activation,1
1181,1191,Er2Se3,1.66,eV,Thermal activation,1
1182,1192,Er3Te4,0.9,eV,Thermal activation,1
1183,1193,Er1Te1,0.9,eV,Thermal activation,1
1184,1194,Er2Te3,0.9,eV,Thermal activation,1
1185,1195,Tm1As1,1.18,eV,Absorption,1
1186,1196,Yb2O3,2.99,eV,Thermal activation,1
1188,1198,YbS,0.33,eV,Thermal activation,1
1190,1200,Yb1As1,1.02,eV,Absorption,1
1191,1201,Yb1Sb1,1.0,eV,Absorption,1
1192,1202,Lu2O3,3.94,eV,Thermal activation,1
1193,1203,Hf1O2,5.55,eV,,1
1194,1204,Hf1S2,2.4299999999999997,eV,Absorption,1
1195,1205,Hf1S3,2.8,eV,Absorption,1
1198,1208,Hf1Se2,1.665,eV,Absorption,1
1200,1210,TaN,2.3,eV,Absorption,1
1201,1211,Ta2O5,4.6,eV,Photoconduction,1
